gene,c,coeff,pval,importance,group,scaled
ANKRD44,DCLRE1B,0.129584529890694,0.001210564592434,0.002531044743255,ec,0.0010831917614834564
ANKRD44,PRKDC,0.104452494941555,0.009192064313507,0.002386920418684,ec,0.0010206211166179761
ANKRD44,RAD17,0.115608742476286,0.003916263489236,0.002168013225059,ec,9.255839720444996e-4
ANKRD52,TET2,-0.013591626345926,0.735336964025353,0.087127047750793,ec,0.03781000020953381
APC,ACD,-0.104711566241588,0.00901925400548,0.081644070008678,ec,0.03542960082776116
APC,CCNH,-0.140082792440372,4.63360496626e-4,0.095989380066249,ec,0.04165752455797988
APC,SMARCC1,0.088324138720011,0.027743497290154,0.089809093872392,ec,0.03897439321457952
APEX2,ACTR5,-0.149154354319481,3.20306059283e-4,0.081053490120289,ec,0.03517320438273998
APEX2,AUNIP,-0.174847783770389,2.36689690166979e-5,0.074580682813931,ec,0.03236307688722972
APEX2,CCND1,0.151449131014583,2.57883179318e-4,0.072086372847366,ec,0.03128018832163244
APEX2,CDKN1A,0.190425964836563,4.0171433669206e-6,0.228284975669437,ec,0.09909280312316304
APEX2,DMC1,-0.165072986628061,6.67960032218747e-5,0.089382658227074,ec,0.03878925893276695
APEX2,FAH,0.087606399223256,0.035231192292644,0.063785725135745,ec,0.027676515717002557
APEX2,FANCM,-0.127412846146353,0.002147056810313,0.080259957345882,ec,0.03482869725277192
APEX2,GADD45A,0.151538165110394,2.55707488598e-4,0.057482290368167,ec,0.024939920215522545
APEX2,GTF2F2,0.127413857711058,0.002146880253271,0.062648723343963,ec,0.027182893731006994
APEX2,LMNA,0.14885977757065,3.29270761775e-4,0.086074187173628,ec,0.03735290758854323
APEX2,PELO,0.122972395556074,0.003063398189345,0.085484409473127,ec,0.037096859408213695
APEX2,POLE2,-0.147582719367667,3.70910900147e-4,0.060234944448857,ec,0.026134967210074255
APEX2,POLH,0.209187387706178,3.88378389381527e-7,0.177100203859144,ec,0.07687126495467188
APEX2,RAD21,-0.102186646275667,0.013977069463898,0.066841089565693,ec,0.029002982455007754
APEX2,RPS27L,0.216391354736704,1.49228567923315e-7,0.155759434701838,ec,0.06760630782774239
APEX2,RRM2B,0.137382176713768,9.28119518884e-4,0.069935975277334,ec,0.03034660710226111
APEX2,SMG6,0.162435107322333,8.75138756434065e-5,0.065539548673529,ec,0.02843792688105171
APEX2,TDP1,-0.192705219957236,3.06033091510329e-6,0.135480649145865,ec,0.058802404023836345
APEX2,TP53,0.108442731470419,0.009075558877588,0.065764424603806,ec,0.028535555314101013
APEX2,UBC,0.116067914268801,0.005208151423516,0.064298018453733,ec,0.02789892455300022
APEX2,XPC,0.165740109884415,6.23436755214173e-5,0.13837588843096,ec,0.06005935346417195
APEX2,YAP1,0.159139639946952,1.21933377235e-4,0.087612546540193,ec,0.038020776373964005
ARID1A,BTG2,0.085913812252798,0.032305760572857,0.11750056874427,ec,0.05099646821938608
ARID1A,CCND1,-0.104414763204104,0.009217477232461,0.085444665555103,ec,0.03707960484284005
ARID1A,CDKN2D,0.160857510012038,5.65595576427369e-5,0.112999689809815,ec,0.04904244069329995
ARID1A,GTF2H3,-0.113798195941535,0.004520532234279,0.076210812402177,ec,0.03307078712180989
ARID1A,NEIL2,-0.121898482142738,0.002342874905547,0.078127021161682,ec,0.033902696781306994
ARID1A,ORC4,-0.16017792376839,6.08506362123026e-5,0.094095043606474,ec,0.04083511061617562
ARID1A,PER3,-0.021543417570093,0.592069305491495,0.144394762858885,ec,0.06267240893166931
ARID1A,POLR2C,-0.168999485214986,2.30135425182674e-5,0.08093848437178,ec,0.035123275379645845
ARID1A,POT1,0.14206315692302,3.83640609471e-4,0.116541159077366,ec,0.05057994670764927
ARID1A,PPP6R1,0.093036409529428,0.020405044455314,0.073818282118375,ec,0.03203208554826716
ARID1A,REV3L,-0.072029271098575,0.072865197134494,0.078810773885047,ec,0.03419954361099257
ARID1A,SMARCA2,0.221076273052889,2.58982942090708e-8,0.262544379230033,ec,0.11396630195740876
ARID1A,TREX1,0.138632501944095,5.31245228356e-4,0.081939629137229,ec,0.03555791591492193
ARID1B,MTOR,-0.08496525919474,0.034269476118497,0.107100475600628,ec,0.04648133493709157
ARID2,CCND1,-0.169991687817702,2.05647106814957e-5,0.106162621460328,ec,0.04607417161804043
ARID2,HES1,-0.108090375834717,0.007016200523619,0.100998054506856,ec,0.04383200822409857
ARID2,RBX1,-0.189867960888409,1.88510703738801e-6,0.163393747631438,ec,0.07092069548944915
ASF1A,ASF1B,-0.135562277587734,7.06521990017e-4,0.075188226249295,ec,0.0326268379466322
ASF1A,SFR1,-0.053091280311636,0.186403257740087,0.082933694215185,ec,0.03598948284958825
ASF1B,ASF1A,-0.293875980612819,7.76403370653528e-14,0.332852832344711,ec,0.14449026287777778
ASF1B,CCNC,-0.167099812539877,2.84944297455318e-5,0.119416807422694,ec,0.05182839086798867
ASF1B,CCNH,-0.142732560533336,3.59723616666e-4,0.051630710534777,ec,0.022399494615979273
ASF1B,CNOT7,-0.183979117427807,3.93191960566504e-6,0.059380803651032,ec,0.02576414749810053
ASF1B,DDX10,-0.124355930866949,0.00190440080103,0.059039510129,ec,0.025615977119328465
