gene,med,cv,sd,cvmod,r
TEX22,0.0621410180666,1.1041839300646297,0.10751238790716462,1.6652159307576295,0.8581733006518809
TEX26,0.00432254745402,1.7917449698159833,0.020745608291069577,2.52908740412857,0.19176646096977504
TEX261,0.012098082011,1.7707563156801516,0.0460081495253286,1.9543614867846013,0.6465456968484997
TEX264,0.00681514771568,1.9386947770906124,0.028550259563597826,1.8208852677189253,0.3891743817903159
TEX28,4.78612776839e-5,4.830997391141783,0.003941060835208693,5.922972266978675,0.0724341995964
TEX29,0.120482390927,0.8987639751557949,0.14685752337907368,1.4797055245692998,0.8777522190391
TEX30,5.92451417277e-4,5.074252365269899,0.023779636890696235,2.8842029419284447,0.43775621759215066
TEX33,0.0115317145433,1.5825281878667632,0.042086492742989486,2.2765959989066147,0.38975076496735733
TEX35,0.00298873982336,2.470331588310784,0.022719572945907672,2.3115007991974883,0.3068970519781769
TEX36,0.00243601623229,2.1023143845520575,0.010291546906581952,1.564993997870927,0.15851660353768351
TEX37,0.00494918317705,2.1157381108613444,0.0244555018067324,1.8919183957889312,0.2500943342193538
TEX38,0.0411172783741,0.998112366769991,0.05528644801350765,1.2096154889942579,0.48104934350475
TEX43,3.91668076629e-4,2.94427862938592,0.003894426426038374,2.2547015999838416,0.046686471688541696
TEX44,0.00788342741063,1.966909678921631,0.032580622103641356,1.7056974785482817,0.5187444165796342
TEX45,7.31827085199e-4,4.346533090496533,0.0155982018989223,2.5052450397780186,0.34186461729340534
TEX46,0.00741573337317,1.9839255685081447,0.030860897162369262,1.895143696467932,0.4155854405575447
TEX47,0.00437684818226,2.109093580583319,0.023160837253860624,2.0957724102812163,0.372905600337
TEX9,0.00171877256964,2.433679075156037,0.013029893305378014,2.3498683443080273,0.21664155640139565
TF,0.0564389709179,1.024826342701982,0.08751314795016722,1.5443357574164485,0.676993600535743
TFAM,0.817663322541,0.24796438010143737,0.18931338966756955,0.3063409257414013,0.9083532846743
TFAP2A,0.0030263111859,3.1617172168811307,0.1527483026098527,3.8998190094149763,0.9977507040612295
TFAP2B,0.00525231756755,3.8901260242388935,0.10761080661108706,2.1903240475815884,0.9462102748175032
TFAP2C,0.172410994566,0.9004286687212617,0.20898737968534192,1.284598381531965,0.99897436671563
TFAP2D,0.101649939305,0.8681739390981775,0.11955517516512107,1.3895230649975645,0.75966504448914
TFAP2E,0.0681444834639,1.0113488363911929,0.10114299892568052,1.4745888516219021,0.705242835504573
TFAP4,0.288439620925,0.7824116665517468,0.28805276234588006,1.7184141442304874,0.9706850216100131
TFB1M,0.213376561388,0.857671896745682,0.24111160352995767,1.657829943539403,0.9355736187006399
TFB2M,0.766876530742,0.3049101446184944,0.21693763320632498,0.41419861977868155,0.9194490623098
TFCP2,0.00251181957995,1.88379190112174,0.013161430806154539,2.577604105390356,0.1559652809460726
TFCP2L1,0.0116808518136,1.7883045019636845,0.04984029744928445,2.340652602516293,0.44958957207509015
TFDP1,0.610023350063,0.46654172340365363,0.26428835912041826,0.7131502057225704,0.98649451832037
TFDP2,0.0729040297053,1.0284412566319354,0.11564338384793726,1.4226536829864695,0.825655463371171
TFDP3,0.01413687565045,1.5087189379571233,0.04465961078836919,1.992986075012845,0.3759357088121725
TFE3,0.0030944788703,2.336181082601602,0.026805873603653326,3.128420019219496,0.3820265815315969
TFEB,0.0101117933042,2.068538775733781,0.04631673498928658,1.854022141405235,0.7233283392102777
TFEC,3.15586887686e-4,7.177176904846773,0.013283715680763773,2.6602969138832955,0.31026097981
TFF1,0.00352869913843,2.0581005760569155,0.018500750657807402,1.9437553104404632,0.22178399571394694
TFF2,0.00127125602901,2.3212215264112426,0.008310221785135357,2.2666540556790813,0.09821429600912138
TFF3,0.0125145182352,1.597988444660576,0.03784099820170428,1.8349795703304597,0.3713718868920253
TFG,0.0664522929614,1.2845683896657125,0.179231502164629,2.1405475553511017,0.880224575991659
TFIP11,0.894378601449,0.16844471370435818,0.14285933320012262,0.14193823707692863,0.9751365515226
TFPI,0.00238649845297,1.732845432288843,0.009591848498354854,1.9984929774475553,0.09830421878591675
TFPI2,0.0307398644313,1.2301745587492035,0.05970125859907008,1.5485623761837413,0.562526278134172
TFPT,0.195940255118,0.8753705009019992,0.22496659504172042,1.7166781165188951,0.9409128783737319
TFR2,0.0141970289907,1.579844055390042,0.04410134011154229,1.8524276165124107,0.5863525356561001
TFRC,0.945635624545,0.2522451372589122,0.21391911863675264,0.17864308798675246,0.9631153103669
TG,0.00570432674108,2.2858735584661676,0.0360794525709421,1.7962329046144485,0.39207015016440555
TGDS,0.0128309095966,2.0981063632262225,0.06354075975410921,2.2261464683656484,0.9983541676789803
TGFA,0.0409980994855,1.183500040166602,0.08010577700668564,1.6206166890418652,0.616925479881705
TGFB1,0.0504927897971,1.0503431956342804,0.08285335680431481,1.8397566408349908,0.4913025172272042
